Abominable Snowman
Aigamuxa
Amarok
Amphisbaena
Antmen
Bonnacon
Bigfoot
Bunyip
Camazotz
Caladrius
Cerastes
Chupacabra
Ciguapa
Cretan Bull
Cyclopes
Dragons
Erymanthian Boar
Fenrir
Frankenstein
Fairies
Gogmagog
Golems
Gremlins
Grendel
Hecatoncheires
Huitzilopochtli
Hybrids
Jack-o-Lantern
Jersey Devil
Jormungand
Kelpie
Kludde
Kongamato
Kraken
Krampus
Lernaean Hydra
Lochness Monster
Mister Hyde
Mngwa
Mokele mbembe
Mongolian Death Worm
Morgawr
Nandi Bear
Nemean Lion
Ogre
Orcs
Pegasus
Phoenix
Roc
Skunk Ape
Sleipnir
Springheeled Jack
Stymphalian Bird
Talos
Thunderbird
Trolls
Undead
Unicorns
Valkyrie
Zombies
