ABUNDANTIA
AESCULAPIUS
APOLLO
AURORA
BACCHUS
BUBONA
CANDELIFERA
CARMENTA
CERES
CLEMENTIA
CLOACINA
CONCORDIA
CUPID
CYBELE
DEVERRA
DIANA
DISCORDIA
EDESIA
EPONA
FABULINUS
FAMA
FAUNA
FELICITAS
FIDES
FLORA
FORTUNA
HERCULES
HESPERA
HIPPONA
HONOS
INVIDIA
IRIS
JANUS
JUNO
JUPITER
JUSTITIA
JUVENTAS
LIBERTAS
LIBITINA
LUNA
MARS
MERCURY
MINERVA
MITHRAS
MUTA
NECESSITA
NEMESIS
NEPTUNE
OPIS
PAX
PIETAS
PLUTO
POMONA
PORTUNES
PROSERPINA
SANCUS
SATURN
SOL INVICTUS
SOMNUS
SORS
SPES
TEMPESTES
TRANQUILLITAS
TRIVIA
VENUS
VERITAS
VESTA
VICTORIA
VOLTURNUS
VOLUPTAS
VULCAN
