Adolf Hitler
Joseph Stalin
Mao Zedong
Benito Mussolini
Pol Pot
Kim Jong-il
Saddam Hussein
Robert Mugabe
Kim Jong-un
Fidel Castro
Chiang Kai-shek
Idi Amin
Bashar al-Assad
Ferdinand Marcos
Vladimir Putin
Kim II-sung
Francisco Franco
Ho Chi Minh
Muammar al-Gaddafi
Nikita Khrushchev
Hun Sen
Hideki T_j_
Pervez Musharraf
Mobutu Sese Seko
Jean-Claude Duvalier
Augusto Pinochet
Suharto
Franois Duvalier
Ruhollah Khomeini
Wojciech Jaruzelski
Anastasio Somoza Debayle
Leonid Brezhnev
Ante Paveli_
Mengistu Haile Mariam
Omar al-Bashir
Nicolae Ceau_escu
JuvŽnal Habyarimana
Anastasio Somoza Garc’a
Ziaur Rahman
Pedro Eugenio Aramburu
Ion Antonescu
Yahya Khan
Hafez al-Assad
Hu Jintao
Sani Abacha
Teodoro Obiang Nguema Mbasogo
Hissne HabrŽ
Than Shwe
Ant—nio de Oliveira Salazar
Mahathir Mohamad
Slobodan Milo_evi_
Gustavo Rojas Pinilla
Plaek Phibunsongkhram
Getœlio Vargas
Leopoldo Galtieri
Fulgencio Batista
Jorge Rafael Videla
Ne Win
Jean Kambanda
Manuel Noriega
Saparmurat Niyazov
Islam Karimov
Park Chung-hee
Thanom Kittikachorn
Ayub Khan
Anand Panyarachun
Georgios Papadopoulos
Ioannis Metaxas
Alejandro Agust’n Lanusse
Emilio Aguinaldo
Lon Nol
Ibrahim Babangida
Mikl—s Horthy
Roberto Eduardo Viola
Juan Carlos Ongan’a
Reynaldo Bignone
Thaksin Shinawatra
Josefa Iloilo
Sarit Thanarat
Artur da Costa e Silva
Gabriel Par’s Gordillo
Thawan Thamrongnawasawat
Kriangsak Chamanan
Pote Sarasin
Moussa Dadis Camara
Daniel arap Moi
Antonio L—pez de Santa Anna
Prem Tinsulanonda
Chatichai Choonhavan
Surayud Chulanont
M‡rcio Melo
Phraya Phahonphon Phayuhasena
Sonthi Boonyaratglin
Chaovarat Chanweerakul
Humberto de Alencar Castelo Branco
Abdullah of Saudi Arabia
Kat_ Tomosabur_
Em’lio Garrastazu MŽdici
Eduardo Lonardi
Khuang Aphaiwong
Thanin Kraivichien
Ernest Shonekan
Askar Akayev
Jerry Rawlings
Jo‹o Figueiredo
Yamamoto Gonnohy_e
Tito Okello
Emilio Eduardo Massera
Suchinda Kraprayoon
Aman Andom
Hussain Muhammad Ershad
Frank Bainimarama
Mohamed Ould Abdel Aziz
Chalit Pukbhasuk
Kurmanbek Bakiyev
Roberto M. Levingston
Tafari Benti
Julius Caesar
Abu Bakr al-Baghdadi
Enver Hoxha
Francisco Mac’as Nguema
Puyi
Fumimaro Konoe
Gurbanguly Berdimuhamedow
Horia Sima
Zhang Jinghui
Isaias Afwerki
Kantaro Suzuki
Khorloogiin Choibalsan
Kuniaki Koiso
Zheng Xiaoxu
M‡ty‡s R‡kosi
Ramiz Alia
Hirohito
