Bolojo
Cakewalk
Patting juba
Stepping
Stick dance
Tap dancing
Kizomba
Kompa
Jazz dance
Moonwalk
Belly dance
Raqs Sharqi
Turkish belly dance
Oriental fusion
Tribal belly dance
American tribal fusion
Saidi
Kawleeya
Khaleeji
Baladi
Dabkeh
Gipsy
Bharat Natyam
Odissi
Haka
Kagura
Ritual dances of China
Sacred dance
Cham dance
Drametse Ngacham
Prophetic dance
Rejang dance
Sanghyang
Sufi whirling
Worship dance
Bird
Boogaloo and Electric boogaloo (Electric boogie)
Boogie
Boomerang
Broadway
Bump
Bussstop
Chicken
Cutting shapes
Duck
Waacking
Fly
Free step
Hitch hike
Horse
Hurry Gurry
Hustle
Jerk
Jumpstyle
Mashed Potato
Monkey
Penguin
Philly dog
Pony
Popcorn
Robot
The Shake
Shimmy
Spank
Watergate
Watusi
Go-go
Bogo lelo dance
Contact improvisation
Dance improvisation
Ecstatic dance
Free dance
Fusion dance
Interpretive dance
Modern dance
Ballet
Baroque dance
Medieval dance
Regency dance
Renaissance dance
Ultapulta
American Rhythm
Bolero willy
East Coast Swing
Mambo
Rumba
Bachata
Cha Cha
Corridos
Cumbia
Duranguense
Forró
International Latin
Argentine tango
Capoeira
Maculelê
Danza
Jive
Merengue
Milonga
Reggaeton
Rumba
Rueda
Salsa
Samba
Samba de Gafieira
Zouk
Lambada
Pasodoble
Quebradita
Samba de roda
Samba enredo
Tejano dance
Zapateado
Animal dance
Bossa Nova
Bunny hop
Conga line
Freddie
Frug
Hitch hike
Jitterbug
Lambada
Madison
Mule
Pony
The Shake
Swim
Turkey trot
Twist
Watusi
"Country dance, Contra dance"
Participation dance
Solo dance
Partner dance
Group dance
Circle dance
Line dance
Round dance
Square dance
Hip-hop dance
Breakdancing
Cabbage patch dance
Cat Daddy
Dougie
Electric boogaloo
Gangsta Walking
Harlem shake
Jerkin'
Locking
Popping
Turfing
Uprock
House dance
Footwork
Vogue
Electro dance
Flexing
Krumping
Litefeet
Lyrical hip-hop
Robot dance
Jaywalk
majorette
Balboa
Big Apple
Black Bottom
Blues dance
Boogie-woogie
Breakaway
Bugg
Carolina Shag
Charleston
Collegiate Shag
East Coast Swing
Hand dancing
Hand Jive
Jitterbug
Jive
Jumpin' Joe
Leroc
Lindy Hop
Modern Jive
Rock and Roll
Single Swing
Skip jive
St. Louis Shag
West Coast Swing
Robert R Dance
Western Swing
Acrobatic dance
Bhangra
Bollywood dance
Calypso
Concert dance
Contemporary dance
Fire dance
Flamenco
Flying Men Dance
K-POP
Liturgical dance
Lyrical dance
Pole dance
Vintage dance
