alizarin
amaranth
amber
amethyst
apricot
aqua
aquamarine
asparagus
auburn
azure
beige
bistre
black
blue
bondi blue
brass
bronze
brown
buff
burgundy
camouflage
caput mortuum
cardinal
carmine
carrot
celadon
cerise
cerulean
champagne
charcoal
chartreuse
cherry blossom
chestnut
chocolate
cinnabar
cinnamon
cobalt
copper
coral
corn
cornflower
cream
crimson
cyan
dandelion
denim
ecru
emerald
eggplant
falu
fern
firebrick
flax
forest
french rose
fuchsia
gamboge
gold
goldenrod
green
grey
han purple
harlequin
heliotrope
hollywood cerise
indigo
ivory
jade
kelly
khaki
lavender
lawn 
lemon
lemon chiffon
lilac
lime
lime
linen
magenta
magnolia
malachite
maroon
mauve
midnight
mint
misty rose
moss
mustard
myrtle
navajo
navy
ochre
office
olive
olivine
orange
orchid
papaya whip
peach
pear
periwinkle
persimmon
pine
pink
platinum
plum
powder
puce
prussia
psychedelic
pumpkin
purple
quartz 
raw umber
razzmatazz
red
robin egg
rose
royal blue
ruby
russet
rust
saffron
salmon
sandy
sangria
sapphire
scarlet
sea
seashell
sepia
shamrock
silver
sky
slate
smalt
spring
spring
steel
tan
tangerine
taupe
teal
tawny
terracotta
thistle
titanium
tomato
turquoise
tyrian
ultramarine
van dyke 
vermilion
violet
viridian
wheat
white
wisteria
yellow
zucchini
