Captain America
Winter Soldier
Nick Fury
S.H.I.E.L.D.
Sharon Carter
X-Men (Ultimate)
Hawkeye (Kate Bishop)
Punisher
Crossbones
Red Skull
Spitfire
Spider-Man (Ultimate)
Beast
Colossus
Cyclops
Emma Frost
Kitty Pryde
Wolverine
X-Men
Hydra
Morbius
Spider-Man
Iron Man
Sin
Colleen Wing
Misty Knight
Iron Fist (Danny Rand)
Deadpool
Deathbird
Gambit
Imperial Guard
Rogue
Captain Marvel (Carol Danvers)
Jessica Jones
Luke Cage
Scarlet Spider (Ben Reilly)
Scarlet Spider (Kaine)
Domino
Lady Deathstrike
Omega Red
Sabretooth
Warpath
Weapon X
Dragon Man
Fantastic Four
Galactus
Inhumans
Silver Surfer
Skrulls
Banshee
Dazzler
Havok
Ms. Marvel (Kamala Khan)
Squirrel Girl
Hulk
Sasquatch (Walter Langkowski)
Araña
Machine Man
Sleepwalker
Ant-Man (Scott Lang)
Proteus
Psylocke
Nightcrawler
Rachel Grey
Storm
Charles Xavier
Jean Grey
Doctor Doom
Namor
T'Challa
Doctor Strange
Star-Lord (Peter Quill)
Cloak
Dagger
Cypher
Daredevil
Thor
Stepford Cuckoos
X-23
Adam Warlock
Loki
Thanos
Human Torch
Thing
Jubilee
Eddie Brock
Lizard
Spider-Girl (May Parker)
Sentry (Robert Reynolds)
Bloodstorm
Magneto
Nakia (Nakia)
Devil Dinosaur (Devil Dinosaur)
H.E.R.B.I.E.
Falcon
Legion
Avengers
Celestials
Jocasta
Black Widow
Guardians of the Galaxy
Hank Pym
Cable
Dark Phoenix
Runaways
Daken
Lockjaw
Hawkeye
Cassandra Nova
Skaar
Amadeus Cho
Nova (Sam Alexander)
Spider-Man (Miles Morales)
Mister Sinister
The Hand
Quicksilver
Scarlet Witch
Diamondback (Rachel Leighton)
Shang-Chi
Bullseye
Blink
Exiles
Iron Lad
Gamora
Odin
Kingpin
Darkhawk
New Mutants
Kraven the Hunter
Defenders
Dormammu
Nightmare
Wasp
Captain Marvel (Mar-Vell)
Frank Castle
Super-Skrull
Mephisto
Ego
Stryfe
Prodigy
Ricochet
Professor X
Victor Von Doom
Man-Thing
Scarecrow (Ebenezer Laughton)
Black Panther
Clea
Klaw
Bruce Banner
Thor (Goddess of Thunder)
Champions
Elsa Bloodstone
Fin Fang Foom
Generation X
Quentin Quire
Black Cat
Dark Avengers
Mary Jane Watson
Norman Osborn
High Evolutionary
Vision
Wonder Man
Armor (Hisako Ichiki)
Ultimate Spider-Man (USM)
Angel (Warren Worthington III)
Iceman
Shadow King
Cyber
Karnak
Magik (Illyana Rasputin)
Quake (Daisy Johnson)
Jane Foster
Beta-Ray Bill
Hope Summers
Maximus
Iron Patriot
J. Jonah Jameson
Vulture (Adrian Toomes)
Blackheart
Angela (Aldrif Odinsdottir)
Venom (Flash Thompson)
Ben Reilly
Jackal
Longshot
Shatterstar
Blastaar
Frightful Four
Rocket Raccoon
Leader
She-Hulk (Jennifer Walters)
Baron Zemo (Heinrich Zemo)
Bucky
Ultron
Pride
Batroc the Leaper
Drax
Nova
A.I.M.
Korvac
M.O.D.O.K.
Onslaught
Butterfly
Darwin
M (Monet St. Croix)
Madrox
Polaris
Rictor
Wolfsbane
X-Factor Investigations
Boom Boom
Forge
Nemesis
X-Force
Iron Patriot (James Rhodes)
Pepper Potts
Toxin (Eddie Brock)
Black Bolt
Mr. Fantastic
Bishop
Fantomex
Puck
Spiral (Rita Wayword)
Shanna the She-Devil
Spider-Man (Ai Apaec)
Sue Storm
U.S. Agent
Arnim Zola
Ultimates
Wolverine (Ultimate)
Maria Hill
Absorbing Man
Lockheed
Spider-Woman (Jessica Drew)
Franklin Richards
Valeria Richards
Sif
Kang
Agent Brand
Tombstone
Multiple Man
Satana
Captain Britain
Excalibur
Apocalypse
Sunfire
Cecilia Reyes
Karma
Mystique
Northstar
Warbird
Doctor Octopus
Clint Barton
Marvel Boy
Miss America
Wiccan
Young Avengers
Pestilence
Stick
Tigra (Greer Nelson)
Cardiac
Sabretooth (Age of Apocalypse)
Groot
Dark Beast
Hercules
James Howlett
Sage
Blindfold
Strong Guy
Screwball
Wong
Sentinels
Foggy Nelson
Taskmaster
Moon Knight
Doop
Captain Universe
Deathlok
Nico Minoru
Reptil
Ant-Man (Eric O'Grady)
Brotherhood of Evil Mutants
Chamber
