Actinolite
Nephrite
Adamite
Aegirine
Afghanite
Agrellite
Algodonite
Alunite
Amblygonite
Analcime
Anatase
Andalusite
Chiastolite
Andesine
Anglesite
Anhydrite
Annabergite
Anorthite
Antigorite
Bowenite
Apatite
Apophyllite
Aragonite
Arfvedsonite
Asbestos
Astrophyllite
Atacamite
Augelite
Austinite
Axinite group
Ferroaxinite
Magnesioaxinite
Manganaxinite
Tinzenite
Azurmalachite
Azurite
Baryte
Bastnaesite
Bayldonite
Benitoite
Beryl subgroup
Aquamarine
Maxixe
Emerald
Goshenite
Golden beryl
Heliodor
Morganite
Red beryl(Bixbite)
Beryllonite
Beudantite
Bismutotantalite
Biotite
Boleite
Boracite
Bornite
Brazilianite
Breithauptite
Brookite
Brucite
Bustamite
Bytownite
Calcite
Manganoan calcite
Caledonite
Canasite
Cancrinite
Vishnevite
Carletonite
Carnallite
Cassiterite
Catapleiite
Cavansite
Celestite
Ceruleite
Cerussite
Chabazite
Chalcopyrite
Chambersite
Charlesite
Charoite
Childrenite
Chiolite
Chondrodite
Chrysoberyl
Alexandrite
Cymophane
Chromite
Chrysocolla
Chrysotile
Cinnabar
Clinochlore
Clinohumite
Clinozoisite
Clintonite
Cobaltite
Colemanite
Cordierite
Iolite
Cornwallite
Corundum
Ruby
Sapphire
Padparadscha
Golden sheen sapphire
Covellite
Creedite
Crocoite
Cryolite
Cuprite
Danburite
Datolite
Descloizite
Diamond
Bort
Ballas
Diaspore
Dickinsonite
Diopside
Dioptase
Dolomite
Dumortierite
Ekanite
Elbaite
Emerald
Trapiche emerald
Enstatite
Bronzite
Hypersthene
Eosphorite
Epidote
Piemontite
Erythrite
Esperite
Ettringite
Euclase
Eudialyte
Euxenite
Fayalite
Feldspar
Andesine
Albite
Anorthite
Anorthoclase
Amazonite
Bytownite
Celsian
Microcline
Moonstone
Adularia
Rainbow
Orthoclase
Unakite
Plagioclase
Albite
Labradorite
Oligoclase
Sanidine
Sunstone
Oregon sunstone
Rainbow lattice sunstone
Fergusonite
Ferroaxinite
Fluorapatite
Fluorapophyllite
Fluorite
Forsterite
Friedelite
Gadolinite
Gahnite
Gahnospinel
Garnet
Pyralspite
Almandine
Pyrope
Spessartine
Ugrandite
Andradite
Demantoid
Melanite
Topazolite
Grossular
Hessonite
Hydrogrossular
Tsavorite
Uvarovite
